backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count,Casting,Crew,genres,last_air_date,number_of_episodes,number_of_seasons,status
/5ptaKaAqhTWZnlpQTrE1dByWyh1.jpg,2019-03-07,"[18, 9648, 10765]",82104,The Order,['US'],en,The Order,"Out to avenge his mother's death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic.",27.682,/yMPjmuSd5Fac8YMNOwofGALQWjR.jpg,7.9,573,Jake Manley;Sarah Grey;Adam DiMarco,,Drama;Mystery;Sci-Fi & Fantasy,2020-06-18,20,2,Canceled
/qyDlF1U1yayXIUniECmGA1oBwZy.jpg,2011-06-23,[18],37680,Suits,['US'],en,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",231.284,/vQiryp6LioFxQThywxbC6TuoDjy.jpg,7.9,1931,Gabriel Macht;Rick Hoffman;Sarah Rafferty;Amanda Schull;Dulé Hill;Katherine Heigl,,Drama,2019-09-25,134,9,Ended
/dVHeJXUzHJJGadB2wvpuAn6fsdN.jpg,2021-01-08,"[80, 18, 9648]",96677,Lupin,['FR'],fr,Lupin,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",228.99,/sgxawbFB5Vi5OkPWQLNfl3dvkNJ.jpg,7.9,605,Omar Sy;Hervé Pierre;Nicole Garcia;Clotilde Hesme;Ludivine Sagnier;Soufiane Guerrab;Saïd Benchnafa;Fargass Assandé,,Crime;Drama;Mystery,2021-01-08,5,1,Returning Series
/qsnXwGS7KBbX4JLqHvICngtR8qg.jpg,2015-04-10,"[80, 18, 10759]",61889,Marvel's Daredevil,['US'],en,Marvel's Daredevil,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,67.228,/QWbPaDxiB6LW2LjASknzYBvjMj.jpg,7.9,2300,Charlie Cox;Deborah Ann Woll;Elden Henson;Vincent D'Onofrio;Jay Ali;Wilson Bethel;Joanne Whalley;Kate Udall,,Crime;Drama;Action & Adventure,2018-10-19,39,3,Canceled
/dvsvjE9vKZCJ2zFP5iwCzAEtNeg.jpg,2012-10-16,[99],56304,The Men Who Built America,['US'],en,The Men Who Built America,"Influential builders, dreamers and believers whose feats transformed the United States, a nation decaying from the inside after the Civil War, into the greatest economic and technological superpower the world had ever seen. The Men Who Built America is the story of a nation at the crossroads and of the people who catapulted it to prosperity.",6.22,/kmxok1OGUFLd2psEMzZ7mU0MjQi.jpg,7.9,108,Tim Getman;Michael Chmiel;David Donahoe;Ray Reynolds;Eric Rolland;Adam Jonas Segaller;AJ Achinger;Alex Falberg;Cary Donaldson;Einar Gunn;James Kidd;Kenneth Cavett;Cameron McNary;Joseph Wiegand;Justin Morck;John C. Bailey;Daniel Odell;Daniel Martin Berkey;John Keabler;Don Meehan,,Documentary,2012-11-11,4,1,Ended
/6BQNimAvPqHDYU1N0w08EWX4JMU.jpg,2019-09-29,"[80, 18]",79086,Godfather of Harlem,['US'],en,Godfather of Harlem,"Loosely based on infamous crime boss Bumpy Johnson, who in the early 1960s returned from ten years in prison to find the neighborhood he once ruled in shambles. With the streets controlled by the Italian mob, Bumpy attempts to regain his piece of Harlem.",17.863,/rQmLQCi1kKrt3QTpEMqhnySwUw6.jpg,7.9,288,Forest Whitaker;Vincent D'Onofrio;Ilfenesh Hadera;Antoinette Crowe-Legacy;Nigel Thatch;Kelvin Harrison Jr.;Lucy Fry;Paul Sorvino;Giancarlo Esposito;Rafi Gavron;Kathrine Narducci,,Crime;Drama,2019-12-01,11,2,Returning Series
/9Sz85jzgFAt2NUWV6e9AfJUSRkM.jpg,2006-04-09,"[10759, 16, 18, 80]",12598,Black Lagoon,['JP'],ja,BLACK LAGOON,"The story follows a team of pirate mercenaries known as the Lagoon Company, that smuggles goods in and around the seas of Southeast Asia in the early to mid 1990s. Their base of operations is located in the fictional harbor city of Roanapur in southeast Thailand near the border of Cambodia.",14.794,/rk2fTjYgpcN6LEALEO0aKTh9y9S.jpg,7.9,105,Hiroaki Hirata;Tsutomu Isobe;Megumi Toyoguchi;Daisuke Namikawa;Mami Koyama;Jun Karasawa;Patricia Drake;Maryke Hendrikse;Brian Drummond;Brad Swaile,,Action & Adventure;Animation;Drama;Crime,2006-12-20,24,1,Ended
/n7dmlxjX4pukz1GFuFPLJjA6og8.jpg,1965-09-18,[35],4455,Get Smart,['US'],en,Get Smart,"Get Smart is an American comedy television series that satirizes the secret agent genre. Created by Mel Brooks with Buck Henry, the show stars Don Adams, Barbara Feldon, and Edward Platt. Henry said they created the show by request of Daniel Melnick, who was a partner, along with Leonard Stern and David Susskind, of the show's production company, Talent Associates, to capitalize on ""the two biggest things in the entertainment world today""—James Bond and Inspector Clouseau. Brooks said: ""It's an insane combination of James Bond and Mel Brooks comedy."" This is the only Mel Brooks production to feature a laugh track.

The success of the show eventually spawned the follow-up films The Nude Bomb and Get Smart, Again!, as well as a 1995 revival series and a 2008 film remake. In 2010, TV Guide ranked Get Smart's opening title sequence at No. 2 on its list of TV's Top 10 Credits Sequences, as selected by readers.",28.474,/AqhPucVAvnocglq5WYXbh6t9wuE.jpg,7.9,245,Don Adams;Barbara Feldon;Edward Platt;Robert Karvelas,,Comedy,1970-05-15,138,5,Ended
/7OK2BRLoOkD3GomzarIWzM8q1JO.jpg,2008-07-13,"[10768, 18, 10759]",17035,Generation Kill,['US'],en,Generation Kill,The first 40 days of the war in Iraq as seen through the eyes of an elite group of U.S. Marines who spearheaded the invasion along with an embedded Rolling Stone reporter. A vivid account of the soldiers and of the forces that guided them in an often-improvised initiative.,12.556,/x5vVAvbyQ4GsbJClMMHdzbbjFPT.jpg,7.9,242,Alexander Skarsgård;James Ransone;Lee Tergesen;Jon Huertas;Stark Sands;Owain Yeoman;Billy Lush;Chance Kelly;Michael Kelly;Jonah Lotan;Eric Nenninger;Pawel Szajda;Kellan Lutz;Neal Jones;Benjamin Busch;Brian Patrick Wade;Sean Brosnan;Wilson Bethel;Marc Menchaca,,War & Politics;Drama;Action & Adventure,2008-08-24,7,1,Ended
/8Czs5ituRaAQu7BTRPbSkwF2pTr.jpg,2020-03-26,[18],99581,Unorthodox,['DE'],de,Unorthodox,A Hasidic Jewish woman in Brooklyn flees to Berlin from an arranged marriage and is taken in by a group of musicians -- until her past comes calling.,10.49,/23lbOgje3fggsB8jPf2HnUgHM0y.jpg,7.9,292,Shira Haas;Amit Rahav;Jeff Wilbusch;Alex Reid;Delia Mayer;Ronit Asheri;Aaron Altaras;Dina Doron;David Mandelbaum;Gera Sandler;Eli Rosen;Tamar Amit-Joseph;Felix Mayr;Safinaz Sattar;Langston Uibel;Aziz Dyab,,Drama,2020-03-26,4,1,Ended
/p62osAAoVW6IwMPlGXxpQnQdBNx.jpg,1963-11-23,"[10759, 18, 10765]",121,Doctor Who,['GB'],en,Doctor Who,"The adventures of a Time Lord—a time-travelling humanoid alien known as the Doctor—who explores the universe in his TARDIS, a sentient time-travelling space ship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Along with a succession of companions, the Doctor faces a variety of foes while working to save civilisations, help ordinary people, and right wrongs.",68.668,/qgtHj2YyIMwGCCq2QQfWUvkqAUx.jpg,7.9,306,Sylvester McCoy;Sophie Aldred,,Action & Adventure;Drama;Sci-Fi & Fantasy,1989-12-06,700,26,Ended
/7NlcCG8WxQzlYxkDNOmjMVPaFKb.jpg,2009-09-17,[35],18347,Community,['US'],en,Community,"Follow the lives of a group of students at what is possibly the world’s worst community college in the fictional locale of Greendale, Colorado.",46.862,/3KUjDt8XY7w2Ku70UE0SECmv1zP.jpg,7.9,760,Joel McHale;Gillian Jacobs;Danny Pudi;Alison Brie;Jim Rash;Paget Brewster;Ken Jeong;Keith David,,Comedy,2015-06-02,110,6,Ended
